scale,h,w,gflops_stock,gflops_brh,params_stock_M,params_brh_M,pct_flops_overhead
0.75,768,1536,99.556589568,105.888940032,16.079392,16.165536,6.360553823184977
0.78125,800,1600,108.025790464,114.896830464,16.079392,16.165536,6.360555169730325
0.8125,832,1664,116.840685568,124.272402432,16.079392,16.165536,6.360555681329704
0.875,896,1792,135.507509248,144.126541824,16.079392,16.165536,6.360557155711436
0.9375,960,1920,155.5570688,165.4513664,16.079392,16.165536,6.3605580102059625
1.0,1024,2048,176.989339648,188.246851584,16.079392,16.165536,6.360559318651151
