label,scale,use_brh,h,w,mean_ms,std_ms,min_ms,max_ms,n_samples
baseline@0.75,0.75,False,768,1536,77.55894174799323,5.37197792441416,61.37779438868165,90.66504398360848,20
baseline@0.78125,0.78125,False,800,1600,93.91452474985272,3.710999999643345,91.51205131784081,107.14571359567344,20
baseline@0.8125,0.8125,False,832,1664,95.05151338176802,6.401780056391278,73.84246359579265,107.99700622446835,20
baseline@0.875,0.875,False,896,1792,104.8573292279616,7.896164501553275,81.94571821950376,122.63168492354453,20
baseline@0.9375,0.9375,False,960,1920,124.43304535700008,4.291163445262227,118.45849868841469,141.41005538403988,20
baseline@1.0,1.0,False,1024,2048,139.8095253459178,12.996015180814577,108.33024471066892,174.38936471007764,20
I1@0.75,0.75,False,768,1536,77.48671203386039,5.2282385743970625,60.02593138255179,87.91542858816683,20
H1@0.75,0.75,True,768,1536,80.95595299033448,5.24524067638606,62.12337468750775,84.37369046732783,20
HI1@0.75,0.75,True,768,1536,83.07186751626432,6.359868178987425,62.73273848928511,97.07526070997119,20
