round,label,ms
0,H1@0.75,70.74266979470849
0,baseline@1.0,174.38936471007764
0,baseline@0.78125,107.14571359567344
0,baseline@0.875,122.15278651565313
0,baseline@0.9375,141.41005538403988
0,baseline@0.8125,107.99700622446835
0,baseline@0.75,90.66504398360848
0,HI1@0.75,97.07526070997119
0,I1@0.75,87.91542858816683
1,baseline@0.8125,107.21238488331437
1,baseline@0.75,87.86508897319436
1,baseline@0.875,122.63168492354453
1,HI1@0.75,95.04735860973597
1,I1@0.75,87.28273259475827
1,baseline@0.78125,101.23752527870238
1,baseline@0.9375,118.45849868841469
1,baseline@1.0,108.68497132323682
1,H1@0.75,62.12337468750775
2,baseline@0.8125,73.84246359579265
2,baseline@0.75,61.37779438868165
2,baseline@0.875,81.94571821950376
2,HI1@0.75,62.73273848928511
2,I1@0.75,60.02593138255179
2,baseline@1.0,108.33024471066892
2,H1@0.75,79.61805569939315
2,baseline@0.9375,123.16524810157716
2,baseline@0.78125,92.75670633651316
3,H1@0.75,83.83822459727526
3,I1@0.75,77.4354113265872
3,HI1@0.75,82.92271490208805
3,baseline@0.8125,95.17244477756321
3,baseline@0.75,77.61725182645023
3,baseline@0.9375,125.40374761447309
3,baseline@0.875,104.9234100151807
3,baseline@1.0,140.6890692654997
3,baseline@0.78125,91.66823560371995
4,baseline@0.78125,92.19892849214375
4,I1@0.75,76.17805409245193
4,baseline@1.0,142.00839698314667
4,baseline@0.75,77.34518819488585
4,baseline@0.8125,94.46242810226977
4,baseline@0.9375,122.45034975931048
4,HI1@0.75,82.59749058634043
4,H1@0.75,82.90805062279105
4,baseline@0.875,103.50239528343081
5,baseline@0.8125,94.78132603690028
5,baseline@0.9375,124.89962219260633
5,HI1@0.75,83.24862187728286
5,baseline@0.875,104.96414741501212
5,baseline@0.75,75.92292679473758
5,H1@0.75,84.37369046732783
5,baseline@1.0,142.52158529125154
5,I1@0.75,76.32469139061868
5,baseline@0.78125,92.45925568975508
6,baseline@0.8125,93.85613659396768
6,baseline@0.875,103.41555741615593
6,baseline@0.75,76.56024880707264
6,HI1@0.75,82.02141257934272
6,I1@0.75,77.42429422214627
6,baseline@0.9375,124.75853147916496
6,H1@0.75,81.80418312549591
6,baseline@0.78125,92.69123547710478
6,baseline@1.0,141.6941980831325
7,baseline@1.0,141.83944487012923
7,I1@0.75,78.08386757969856
7,H1@0.75,82.69563070498407
7,baseline@0.75,77.46559008955956
7,baseline@0.875,107.15962150134146
7,baseline@0.9375,124.08773838542402
7,baseline@0.8125,94.21933861449361
7,HI1@0.75,83.24559931643307
7,baseline@0.78125,94.4952345918864
8,baseline@0.875,101.97536889463663
8,baseline@0.75,77.50706099905074
8,H1@0.75,82.895362470299
8,baseline@0.8125,94.17371330782771
8,HI1@0.75,82.24330833181739
8,baseline@0.9375,123.45172171480954
8,I1@0.75,76.87551071867347
8,baseline@1.0,141.61288677714765
8,baseline@0.78125,91.86779549345374
9,baseline@0.875,104.3154806829989
9,HI1@0.75,81.8099613301456
9,baseline@0.75,76.71893411315978
9,H1@0.75,82.48824090696871
9,baseline@0.8125,94.4928567390889
9,baseline@0.78125,92.96257854439318
9,baseline@0.9375,123.58443681150675
9,baseline@1.0,140.3616968076676
9,I1@0.75,77.55746049806476
10,I1@0.75,77.81257564201951
10,baseline@0.8125,94.83506712131202
10,H1@0.75,83.0621297005564
10,baseline@0.78125,93.1456632912159
10,baseline@1.0,140.90029927901924
10,HI1@0.75,82.56747662089765
10,baseline@0.875,105.00557105988264
10,baseline@0.9375,124.19256642460823
10,baseline@0.75,77.10033631883562
11,HI1@0.75,82.84793342463672
11,baseline@0.75,77.86813718266785
11,baseline@0.875,102.62987371534109
11,baseline@0.8125,95.7631743978709
11,baseline@0.9375,123.49815363995731
11,baseline@1.0,140.55450591258705
11,H1@0.75,83.08672271668911
11,I1@0.75,76.79649819619954
11,baseline@0.78125,93.19190606474876
12,baseline@0.75,76.26891671679914
12,baseline@0.78125,92.71031240932643
12,baseline@1.0,142.31156278401613
12,H1@0.75,82.93855907395482
12,HI1@0.75,84.60545777343214
12,baseline@0.8125,96.58810258843005
12,baseline@0.9375,124.8216007836163
12,I1@0.75,76.0015042964369
12,baseline@0.875,102.37687872722745
13,HI1@0.75,81.27452121116221
13,I1@0.75,77.68799592740834
13,H1@0.75,82.92860561050475
13,baseline@0.8125,95.2413349878043
13,baseline@0.875,106.97239441797137
13,baseline@0.75,76.8741087988019
13,baseline@0.9375,122.79096362181008
13,baseline@1.0,141.91897506825626
13,baseline@0.78125,92.68032852560282
14,baseline@0.875,102.6177410967648
14,H1@0.75,81.9204197730869
14,I1@0.75,77.08814782090485
14,baseline@0.8125,96.77156209945679
14,baseline@0.78125,92.97145418822765
14,baseline@1.0,140.68030277267098
14,HI1@0.75,82.28653939440846
14,baseline@0.9375,121.59607312642038
14,baseline@0.75,76.64083931595087
15,baseline@0.9375,124.41066349856555
15,baseline@0.875,104.7114877961576
15,baseline@0.8125,94.32925791479647
15,HI1@0.75,84.67663461342454
15,baseline@1.0,141.94843703880906
15,baseline@0.78125,91.51205131784081
15,H1@0.75,82.48499813489616
15,baseline@0.75,76.84238548390567
15,I1@0.75,77.35272468999028
16,baseline@0.8125,94.26766359247267
16,baseline@0.875,103.80188887938857
16,I1@0.75,77.14580288156867
16,HI1@0.75,83.18983959034085
16,baseline@0.9375,124.14968977682292
16,H1@0.75,82.44662638753653
16,baseline@1.0,140.9154619090259
16,baseline@0.78125,93.36654655635357
16,baseline@0.75,77.58240946568549
17,baseline@0.875,103.51766659878194
17,baseline@0.8125,93.4727219864726
17,HI1@0.75,83.07852558791637
17,H1@0.75,82.8601323068142
17,I1@0.75,77.77548423036933
17,baseline@0.9375,124.95193788781762
17,baseline@0.75,77.54634912125766
17,baseline@0.78125,93.23499677702785
17,baseline@1.0,141.71563992276788
18,baseline@0.78125,92.16090408153832
18,baseline@0.9375,122.15950936079025
18,baseline@0.8125,94.93055548518896
18,HI1@0.75,82.2724905796349
18,I1@0.75,79.09855702891946
18,baseline@0.75,78.02895149216056
18,baseline@1.0,142.12254360318184
18,baseline@0.875,103.13529539853334
18,H1@0.75,81.49364809505641
19,baseline@0.875,105.3916160017252
19,baseline@1.0,140.99091980606318
19,I1@0.75,77.87156756967306
19,HI1@0.75,81.69346479699016
19,baseline@0.8125,94.62072858586907
19,baseline@0.75,77.381272893399
19,H1@0.75,82.40973493084311
19,baseline@0.78125,93.83312268182635
19,baseline@0.9375,124.41979888826609
